NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
C. Lakin,Burton Albion,English League One,,,62,,,,,,,
A. Al Asmari,Al Ahli,Saudi Abdul L. Jameel League,,,62,,,,,,,
N. Ngcobo,Kaizer Chiefs,South African Premier Division,,,62,,,,,,,
Guo Quanbo,Beijing Guoan FC,Chinese Super League,,,62,,,,,,,
R. Muhammed,Sarpsborg 08 FF,Norwegian Eliteserien,,,62,,,,,,,
P. Sussek,FC Ingolstadt 04,German 2. Bundesliga,,,62,,,,,,,
M. Olivieri,Lecce,Italian Serie B,,,62,,,,,,,
Marcos Lavín,FC Voluntari,Romanian Liga I,,,62,,,,,,,
R. Menayese,Walsall,English League Two,,,62,,,,,,,
Boubacar Hanne,Gil Vicente FC,Portuguese Liga ZON SAGRES,,,62,,,,,,,
D. Ajiboye,Sutton United,English League Two,,,62,,,,,,,
B. Galván,Colorado Rapids,USA Major League Soccer,,,62,,,,,,,
K. Bennetts,Borussia Mönchengladbach,German 1. Bundesliga,,,62,,,,,,,
L. Tempelmann,1. FC Nürnberg,German 2. Bundesliga,,,62,,,,,,,
A. Ammitzbøll,Aarhus GF,Danish Superliga,,,62,,,,,,,
M. Okazaki,FC Tokyo,Japanese J. League Division 1,,,62,,,,,,,
D. Smarsch,FC St. Pauli,German 2. Bundesliga,,,62,,,,,,,
K. Hansen,Stabæk Fotball,Norwegian Eliteserien,,,62,,,,,,,
A. Lyons,Bohemian FC,Rep. Ireland Airtricity League,,,62,,,,,,,
O. Šarkić,Blackpool,English League Championship,,,62,,,,,,,
T. Al Ammar,Al Shabab,Saudi Abdul L. Jameel League,,,62,,,,,,,
D. Mercado,Club Atlético Huracán,Argentina Primera División,,,62,,,,,,,
M. Benger,Holstein Kiel,German 2. Bundesliga,,,62,,,,,,,
A. Ashraf,Al Faisaly,Saudi Abdul L. Jameel League,,,62,,,,,,,
M. Virtue,Blackpool,English League Championship,,,62,,,,,,,
A. Ordagić,Sandefjord Fotball,Norwegian Eliteserien,,,62,,,,,,,
T. Mourdoukoutas,Western Sydney Wanderers,Australian Hyundai A-League,,,62,,,,,,,
X. Amaechi,Bolton Wanderers,English League One,,,62,,,,,,,
A. Thurgate,Newcastle Jets,Australian Hyundai A-League,,,62,,,,,,,
Y. Fofana,Le Havre AC,French Ligue 2,,,62,,,,,,,
J. Lennon,St. Patrick's Athletic,Rep. Ireland Airtricity League,,,62,,,,,,,
A. Irving,Türkgücü München,German 3. Bundesliga,,,62,,,,,,,
B. Servania,FC Dallas,USA Major League Soccer,,,62,,,,,,,
A. Traoré,Parma,Italian Serie B,,,62,,,,,,,
T. Sang,Cardiff City,English League Championship,,,62,,,,,,,
O. Macías,Fútbol Club Juárez,Mexican Liga MX,,,62,,,,,,,
A. Majrashi,Al Shabab,Saudi Abdul L. Jameel League,,,62,,,,,,,
M. Hausjell,FC Flyeralarm Admira,Austrian Football Bundesliga,,,62,,,,,,,
D. Tomii,Shonan Bellmare,Japanese J. League Division 1,,,62,,,,,,,
Y. Akiyama,Vegalta Sendai,Japanese J. League Division 1,,,62,,,,,,,
K. Kristinsson,SønderjyskE,Danish Superliga,,,62,,,,,,,
I. Twum,Mjøndalen IF,Norwegian Eliteserien,,,62,,,,,,,
D. Kelly,Dundalk FC,Rep. Ireland Airtricity League,,,62,,,,,,,
M. Zemzemi,Chamois Niortais Football Club,French Ligue 2,,,62,,,,,,,
G. Lillard,Columbus Crew,USA Major League Soccer,,,62,,,,,,,
D. Csóka,AFC Wimbledon,English League One,,,62,,,,,,,
W. Omsberg,Chicago Fire Football Club,USA Major League Soccer,,,62,,,,,,,
S. Asta,SpVgg Greuther Fürth,German 1. Bundesliga,,,62,,,,,,,
Park Jeong Soo,GwangJu FC,Korean K League 1,,,62,,,,,,,
S. Foss,Sandefjord Fotball,Norwegian Eliteserien,,,62,,,,,,,
M. Shabani,Wolverhampton Wanderers,English Premier League,,,62,,,,,,,
Alfon,RC Celta de Vigo,Spain Primera Division,,,62,,,,,,,
H. Löfkvist,Kalmar FF,Swedish Allsvenskan,,,62,,,,,,,
P. Marie,San Jose Earthquakes,USA Major League Soccer,,,62,,,,,,,
J. Scally,Borussia Mönchengladbach,German 1. Bundesliga,,,62,,,,,,,
Y. Begraoui,Toulouse Football Club,French Ligue 2,,,62,,,,,,,
S. Mulattieri,Crotone,Italian Serie B,,,62,,,,,,,
N. Madsen,SC Heerenveen,Holland Eredivisie,,,62,,,,,,,
F. Winther,FC Augsburg,German 1. Bundesliga,,,62,,,,,,,
Doo Hyun Seok,GwangJu FC,Korean K League 1,,,62,,,,,,,
C. Parano,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,,,62,,,,,,,
César Gelabert,CD Mirandés,Spanish Segunda División,,,62,,,,,,,
J. Bursztyn,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
M. Breunig,FC Würzburger Kickers,German 3. Bundesliga,,,62,,,,,,,
W. Długosz,Raków Częstochowa,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
F. Chabrolle,AC Ajaccio,French Ligue 2,,,62,,,,,,,
R. Crichlow,Swindon Town,English League Two,,,62,,,,,,,
S. High,Huddersfield Town,English League Championship,,,62,,,,,,,
C. Krempicki,1. FC Magdeburg,German 3. Bundesliga,,,62,,,,,,,
A. Abdellaoui,Ettifaq FC,Saudi Abdul L. Jameel League,,,62,,,,,,,
M. Drammeh,Vejle Boldklub,Danish Superliga,,,62,,,,,,,
D. Philipp,Viktoria Köln,German 3. Bundesliga,,,62,,,,,,,
L. Schneider,FC Würzburger Kickers,German 3. Bundesliga,,,62,,,,,,,
A. Xhemajli,Sunderland,English League One,,,62,,,,,,,
D. Mellor,Salford City,English League Two,,,62,,,,,,,
N. Plume,TSV Havelse,German 3. Bundesliga,,,62,,,,,,,
Hong Hyeon Seok,LASK Linz,Austrian Football Bundesliga,,,62,,,,,,,
A. Bakir,MSV Duisburg,German 3. Bundesliga,,,62,,,,,,,
R. Lamie,Motherwell,Scottish Premiership,,,62,,,,,,,
D. Bielica,Górnik Zabrze,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
F. Faist,TSV Egger Glas Hartberg,Austrian Football Bundesliga,,,62,,,,,,,
J. Krahl,FC Viktoria 1889 Berlin,German 3. Bundesliga,,,62,,,,,,,
K. Jacobs,Livingston FC,Scottish Premiership,,,62,,,,,,,
C. Antwi,FC Nordsjælland,Danish Superliga,,,62,,,,,,,
N. Quindt,TSV Havelse,German 3. Bundesliga,,,62,,,,,,,
D. Gąska,Górnik Łęczna,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
K. Kaïboué,SC Bastia,French Ligue 2,,,62,,,,,,,
M. Baldisimo,Vancouver Whitecaps FC,USA Major League Soccer,,,62,,,,,,,
M. Choinière,Club de Foot Montréal,USA Major League Soccer,,,62,,,,,,,
E. Masciangelo,Benevento,Italian Serie B,,,62,,,,,,,
D. Bumberger,SC Rheindorf Altach,Austrian Football Bundesliga,,,62,,,,,,,
M. Żyro,PGE FKS Stal Mielec,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
L. Schöfl,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,,,62,,,,,,,
M. Haas,VfL Osnabrück,German 3. Bundesliga,,,62,,,,,,,
B. Lederman,Raków Częstochowa,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
Duan Liuyu,Shandong Taishan,Chinese Super League,,,62,,,,,,,
Zhu Chenjie,Shanghai Shenhua FC,Chinese Super League,,,62,,,,,,,
K. Bucker,Heracles Almelo,Holland Eredivisie,,,62,,,,,,,
L. Racic,Brentford,English Premier League,,,62,,,,,,,
T. Prica,Aalborg BK,Danish Superliga,,,62,,,,,,,
M. Grabowski,Bruk-Bet Termalica Nieciecza,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
N. Wood,Hibernian,Scottish Premiership,,,62,,,,,,,
A. Thapa,Chennaiyin FC,Indian Super League,,,62,,,,,,,
R. Uldriķis,SC Cambuur,Holland Eredivisie,,,62,,,,,,,
J. Žambůrek,Brentford,English Premier League,,,62,,,,,,,
A. Al Meqran,Al Raed,Saudi Abdul L. Jameel League,,,62,,,,,,,
A. Hindi,Al Ahli,Saudi Abdul L. Jameel League,,,62,,,,,,,
A. Hassoun,Al Ahli,Saudi Abdul L. Jameel League,,,62,,,,,,,
H. Yamada,Cerezo Osaka,Japanese J. League Division 1,,,62,,,,,,,
S. Machino,Shonan Bellmare,Japanese J. League Division 1,,,62,,,,,,,
Y. Tolosa,Deportivo Cali,Colombian Liga Postobón,,,62,,,,,,,
D. Rosales,Deportivo Toluca,Mexican Liga MX,,,62,,,,,,,
Y. Ohashi,Shonan Bellmare,Japanese J. League Division 1,,,62,,,,,,,
I. Hutchinson,Derby County,English League Championship,,,62,,,,,,,
J. Bennett,Crewe Alexandra,English League One,,,62,,,,,,,
H. White,Tottenham Hotspur,English Premier League,,,62,,,,,,,
Kim Dong Hyun,Gangwon FC,Korean K League 1,,,62,,,,,,,
L. Matheson,Wolverhampton Wanderers,English Premier League,,,62,,,,,,,
C. Mamengi,FC Utrecht,Holland Eredivisie,,,62,,,,,,,
K. Ramsay,Crewe Alexandra,English League One,,,62,,,,,,,
M. Hermansen,Brøndby IF,Danish Superliga,,,62,,,,,,,
J. Lankester,Cambridge United,English League One,,,62,,,,,,,
N. Fukumori,Vegalta Sendai,Japanese J. League Division 1,,,62,,,,,,,
M. Siby,RC Strasbourg Alsace,French Ligue 1,,,62,,,,,,,
L. Corbu,AFC Chindia Târgoviște,Romanian Liga I,,,62,,,,,,,
M. Coyle,Finn Harps,Rep. Ireland Airtricity League,,,62,,,,,,,
S. Mackie,Hibernian,Scottish Premiership,,,62,,,,,,,
R. Hove,SK Brann,Norwegian Eliteserien,,,62,,,,,,,
Álex Pachón,Unión Deportiva Las Palmas,Spanish Segunda División,,,62,,,,,,,
T. Cissokho,US Quevilly Rouen Métropole,French Ligue 2,,,62,,,,,,,
T. Nakamura,FC Tokyo,Japanese J. League Division 1,,,62,,,,,,,
N. Mickelson,Odense Boldklub,Danish Superliga,,,62,,,,,,,
A. Riccardi,Roma,Italian Serie A,,,62,,,,,,,
Ruan Teles,Campionii FC Arges,Romanian Liga I,,,62,,,,,,,
F. Nmecha,VfL Wolfsburg,German 1. Bundesliga,,,62,,,,,,,
F. Sjølstad,Molde FK,Norwegian Eliteserien,,,62,,,,,,,
R. Astley,Everton,English Premier League,,,62,,,,,,,
D. Drysdale,Coventry City,English League Championship,,,62,,,,,,,
L. Scales,Celtic,Scottish Premiership,,,62,,,,,,,
H. Mashiane,Kaizer Chiefs,South African Premier Division,,,62,,,,,,,
K. Hodžić,Mjällby AIF,Swedish Allsvenskan,,,62,,,,,,,
S. Pedroza,Club Independiente Santa Fe,Colombian Liga Postobón,,,62,,,,,,,
Euclides Cabral,FC St. Gallen 1879,Swiss Super League,,,62,,,,,,,
A. Mikkelsen,Tromsø IL,Norwegian Eliteserien,,,62,,,,,,,
R. Cabrera,Club Atlético Nacional Potosí,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
D. Politic,Port Vale,English League Two,,,62,,,,,,,
A. Glennon,Burnley,English Premier League,,,62,,,,,,,
V. Gembalies,MSV Duisburg,German 3. Bundesliga,,,62,,,,,,,
L. Carnot,En Avant de Guingamp,French Ligue 2,,,62,,,,,,,
J. Nisbet,Central Coast Mariners,Australian Hyundai A-League,,,62,,,,,,,
A. Rowe,Huddersfield Town,English League Championship,,,62,,,,,,,
B. Nieto,CD Antofagasta,Chilian Campeonato Nacional,,,62,,,,,,,
J. Vargas,Club Deportivo Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
A. Bălan,Rapid București,Romanian Liga I,,,62,,,,,,,
A. Dobrosavlevici,FC Farul Constanța,Romanian Liga I,,,62,,,,,,,
S. Bușu,FC U Craiova 1948,Romanian Liga I,,,62,,,,,,,
Relu,Levante Unión Deportiva,Spain Primera Division,,,62,,,,,,,
A. Burlacu,FCSB (Steaua),Romanian Liga I,,,62,,,,,,,
A. Rațiu,SD Huesca,Spanish Segunda División,,,62,,,,,,,
T. Hasal,Vancouver Whitecaps FC,USA Major League Soccer,,,62,,,,,,,
O. Perianu,FCSB (Steaua),Romanian Liga I,,,62,,,,,,,
T. Anjorin,FC Lokomotiv Moscow,Russian Premier League,,,62,,,,,,,
D. Ramaj,Eintracht Frankfurt,German 1. Bundesliga,,,62,,,,,,,
B. Doukansy,Chamois Niortais Football Club,French Ligue 2,,,62,,,,,,,
G. Ahadme,Portsmouth,English League One,,,62,,,,,,,
S. Straudi,SV Werder Bremen,German 2. Bundesliga,,,62,,,,,,,
T. Fayulu,FC Sion,Swiss Super League,,,62,,,,,,,
B. Jackson,Huddersfield Town,English League Championship,,,62,,,,,,,
L. Watson,Derby County,English League Championship,,,62,,,,,,,
F. Alves,Sunderland,English League One,,,62,,,,,,,
I. Popescu,CS Mioveni,Romanian Liga I,,,62,,,,,,,
D. Dumitrascu,Campionii FC Arges,Romanian Liga I,,,62,,,,,,,
A. Mihaiu,FC Dinamo 1948 Bucureşti,Romanian Liga I,,,62,,,,,,,
C. Cherchez,AFC Chindia Târgoviște,Romanian Liga I,,,62,,,,,,,
C. Dumitru,Campionii FC Arges,Romanian Liga I,,,62,,,,,,,
E. Peña Zauner,Eintracht Braunschweig,German 3. Bundesliga,,,62,,,,,,,
B. Barbu,Rapid București,Romanian Liga I,,,62,,,,,,,
A. Buziuc,CS Mioveni,Romanian Liga I,,,62,,,,,,,
S. Kavrazlı,Trabzonspor,Turkish Süper Lig,,,62,,,,,,,
T. Savin,Accrington Stanley,English League One,,,62,,,,,,,
K. Dlamini,Orlando Pirates,South African Premier Division,,,62,,,,,,,
L. Dehl,1. FC Union Berlin,German 1. Bundesliga,,,62,,,,,,,
A. Lungwitz,FC Würzburger Kickers,German 3. Bundesliga,,,62,,,,,,,
N. Galle,1. FC Saarbrücken,German 3. Bundesliga,,,62,,,,,,,
J. Martin,Milton Keynes Dons,English League One,,,62,,,,,,,
F. Bainović,Górnik Zabrze,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
P. Krawczyk,Górnik Zabrze,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
K. Skibicki,Legia Warszawa,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
J. Taylor,Port Vale,English League Two,,,62,,,,,,,
C. Kinsombi,SV Sandhausen,German 2. Bundesliga,,,62,,,,,,,
B. Bida,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
M. Abubakari,Malmö FF,Swedish Allsvenskan,,,62,,,,,,,
N. Huggins,Sunderland,English League One,,,62,,,,,,,
P. Osew,AFC Wimbledon,English League One,,,62,,,,,,,
J. Eccles,Coventry City,English League Championship,,,62,,,,,,,
Jeremy,CD Tenerife,Spanish Segunda División,,,62,,,,,,,
T. Taylor,Burton Albion,English League One,,,62,,,,,,,
Irazábal,SD Amorebieta,Spanish Segunda División,,,62,,,,,,,
J. Machado,AC Mineros de Guayana,Venezuelan Primera División,,,62,,,,,,,
D. Solomons,Varbergs BoIS FC,Swedish Allsvenskan,,,62,,,,,,,
F. Honda,Sagan Tosu,Japanese J. League Division 1,,,62,,,,,,,
J. Cabal,Atlético Nacional,Colombian Liga Postobón,,,62,,,,,,,
R. Neciu,FC Botoşani,Romanian Liga I,,,62,,,,,,,
F. Ángel,Junior FC,Colombian Liga Postobón,,,62,,,,,,,
M. Woledzi,FC Nordsjælland,Danish Superliga,,,62,,,,,,,
F. Heister,Viktoria Köln,German 3. Bundesliga,,,62,,,,,,,
Rúben Ramos,Moreirense FC,Portuguese Liga ZON SAGRES,,,62,,,,,,,
D. Segbe Azankpo,USL Dunkerque,French Ligue 2,,,62,,,,,,,
L. Clarkson,Blackburn Rovers,English League Championship,,,62,,,,,,,
D. Szelągowski,Raków Częstochowa,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
Park Dae Won,Suwon Samsung Bluewings,Korean K League 1,,,62,,,,,,,
Kim Ju Kong,GwangJu FC,Korean K League 1,,,62,,,,,,,
A. Méndez,FC Vizela,Portuguese Liga ZON SAGRES,,,62,,,,,,,
S. Șerban,FCSB (Steaua),Romanian Liga I,,,62,,,,,,,
J. Burroughs,Ross County FC,Scottish Premiership,,,62,,,,,,,
S. Abdullah,Al Ain FC,UAE Arabian Gulf League,,,62,,,,,,,
Matchoi Djaló,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,,,62,,,,,,,
A. Ibrahim,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,,,62,,,,,,,
K. Smoliński,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
M. Żurawski,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
J. Sylvestre-Brac,Grenoble Foot 38,French Ligue 2,,,62,,,,,,,
J. Kadiri,Strømsgodset IF,Norwegian Eliteserien,,,62,,,,,,,
R. Sila,FC Botoşani,Romanian Liga I,,,62,,,,,,,
D. Devoy,Bohemian FC,Rep. Ireland Airtricity League,,,62,,,,,,,
A. Álvarez,Godoy Cruz,Argentina Primera División,,,62,,,,,,,
Carreira,CD Mirandés,Spanish Segunda División,,,62,,,,,,,
Tòfol Montiel,Fiorentina,Italian Serie A,,,62,,,,,,,
A. Sher,Spezia,Italian Serie A,,,62,,,,,,,
R. Devine,St. Johnstone FC,Scottish Premiership,,,62,,,,,,,
F. Hernandez,Sporting Kansas City,USA Major League Soccer,,,62,,,,,,,
D. Velimirovic,SK Rapid Wien,Austrian Football Bundesliga,,,62,,,,,,,
F. Mina,Club Social y Deportivo Macará,Ecuadorian Serie A,,,62,,,,,,,
L. van der Gaag,Belenenses SAD,Portuguese Liga ZON SAGRES,,,62,,,,,,,
C. Ibañez,Club Atlético Huracán,Argentina Primera División,,,62,,,,,,,
V. Jaroš,St. Patrick's Athletic,Rep. Ireland Airtricity League,,,62,,,,,,,
F. de Keijzer,FC Utrecht,Holland Eredivisie,,,62,,,,,,,
M. Azeez,Portsmouth,English League One,,,62,,,,,,,
M. Højholt,Aalborg BK,Danish Superliga,,,62,,,,,,,
M. Ibrahimoglu,Heracles Almelo,Holland Eredivisie,,,62,,,,,,,
M. Velásquez,Sport Huancayo,Peruvian Primera División,,,62,,,,,,,
J. Rioja,Club Atlético Nacional Potosí,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
P. Galindo,Club Always Ready,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
K. Okuno,Gamba Osaka,Japanese J. League Division 1,,,62,,,,,,,
C. Noß,Borussia Mönchengladbach,German 1. Bundesliga,,,62,,,,,,,
D. Zalzman,Deportivo Táchira FC,Venezuelan Primera División,,,62,,,,,,,
C. Varela,Deportivo Táchira FC,Venezuelan Primera División,,,62,,,,,,,
O. Zapata,Aragua Fútbol Club,Venezuelan Primera División,,,62,,,,,,,
P. Álvarez,Aragua Fútbol Club,Venezuelan Primera División,,,62,,,,,,,
M. Ferreira,Cerro Largo Fútbol Club,Uruguayan Primera División,,,62,,,,,,,
M. Amissi,Heracles Almelo,Holland Eredivisie,,,62,,,,,,,
S. Robertson,Crewe Alexandra,English League One,,,62,,,,,,,
A. Valério,Nîmes Olympique,French Ligue 2,,,62,,,,,,,
F. Casanova,Centro Atlético Fénix,Uruguayan Primera División,,,62,,,,,,,
T. Doyle,Hamburger SV,German 2. Bundesliga,,,62,,,,,,,
R. Mina,Sociedad Deportiva Aucas,Ecuadorian Serie A,,,62,,,,,,,
E. Anderson,Newcastle United,English Premier League,,,62,,,,,,,
S. Theler,FC Sion,Swiss Super League,,,62,,,,,,,
J. Nilsson,Mjällby AIF,Swedish Allsvenskan,,,62,,,,,,,
G. Olguín,Club Atlético Palmaflor,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
A. Fofana,Dijon FCO,French Ligue 2,,,62,,,,,,,
S. Sebulonsen,Viking FK,Norwegian Eliteserien,,,62,,,,,,,
N. Boushal,Al Fateh,Saudi Abdul L. Jameel League,,,62,,,,,,,
F. Parra,Guaireña FC,Paraguayan Primera División,,,62,,,,,,,
M. Arzamendia,Club Olimpia,Paraguayan Primera División,,,62,,,,,,,
J. Argüello,Club Nacional,Paraguayan Primera División,,,62,,,,,,,
K. Bangunagande,FC Tokyo,Japanese J. League Division 1,,,62,,,,,,,
S. Yoshida,Oita Trinita,Japanese J. League Division 1,,,62,,,,,,,
M. Palomino,Houston Dynamo,USA Major League Soccer,,,62,,,,,,,
Seol Young Woo,Ulsan Hyundai FC,Korean K League 1,,,62,,,,,,,
A. Barboza,Centro Atlético Fénix,Uruguayan Primera División,,,62,,,,,,,
S. Müller,Eintracht Braunschweig,German 3. Bundesliga,,,62,,,,,,,
W. Álvarez,Club Deportivo Guabirá,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
Tomás Castro,Belenenses SAD,Portuguese Liga ZON SAGRES,,,62,,,,,,,
J. Rivas,Club Universidad Nacional,Mexican Liga MX,,,62,,,,,,,
A. Hernández,Aragua Fútbol Club,Venezuelan Primera División,,,62,,,,,,,
A. Morris,Columbus Crew,USA Major League Soccer,,,62,,,,,,,
N. Nkounkou,Standard de Liège,Belgian Jupiler Pro League,,,62,,,,,,,
M. Hosoya,Kashiwa Reysol,Japanese J. League Division 1,,,62,,,,,,,
M. Bakker,AZ Alkmaar,Holland Eredivisie,,,62,,,,,,,
E. Sierra,Heracles Almelo,Holland Eredivisie,,,62,,,,,,,
J. Sosa,Club Atlético Rentistas,Uruguayan Primera División,,,62,,,,,,,
B. Díaz,Club Tijuana,Mexican Liga MX,,,62,,,,,,,
Mario Rodríguez,Warta Poznań,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
D. Seger,Örebro SK,Swedish Allsvenskan,,,62,,,,,,,
I. Mesík,Stabæk Fotball,Norwegian Eliteserien,,,62,,,,,,,
C. Riveros,Club Nacional,Paraguayan Primera División,,,62,,,,,,,
J. Cruz,Club Atlético Banfield,Argentina Primera División,,,62,,,,,,,
M. Navarro,Chicago Fire Football Club,USA Major League Soccer,,,62,,,,,,,
D. Sandy,Club Deportivo Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
J. Mamani,Club Always Ready,Liga de Fútbol Profesional Boliviano,,,62,,,,,,,
T. Takamine,Hokkaido Consadole Sapporo,Japanese J. League Division 1,,,62,,,,,,,
R. Yasunaga,Yokohama FC,Japanese J. League Division 1,,,62,,,,,,,
A. Athanasakopoulos,Panathinaikos FC,Greek Super League,,,62,,,,,,,
J. Birkfeldt,Varbergs BoIS FC,Swedish Allsvenskan,,,62,,,,,,,
J. Rodríguez,CS Emelec,Ecuadorian Serie A,,,62,,,,,,,
K. Tachi,Shonan Bellmare,Japanese J. League Division 1,,,62,,,,,,,
Y. Murillo,Club Nacional,Paraguayan Primera División,,,62,,,,,,,
G. Thomason,Bolton Wanderers,English League One,,,62,,,,,,,
N. Gorzel,Türkgücü München,German 3. Bundesliga,,,62,,,,,,,
J. Waterman,Club de Foot Montréal,USA Major League Soccer,,,62,,,,,,,
Miguel Berry,Columbus Crew,USA Major League Soccer,,,62,,,,,,,
Carrasco,Cádiz CF,Spain Primera Division,,,62,,,,,,,
M. Correa,Club Atlético Peñarol,Uruguayan Primera División,,,62,,,,,,,
M. Nuñez,Universidad Católica,Chilian Campeonato Nacional,,,62,,,,,,,
J. Pulskamp,Sporting Kansas City,USA Major League Soccer,,,62,,,,,,,
S. Renel,Chamois Niortais Football Club,French Ligue 2,,,62,,,,,,,
I. May,Eintracht Braunschweig,German 3. Bundesliga,,,62,,,,,,,
L. Horn,FSV Zwickau,German 3. Bundesliga,,,62,,,,,,,
A. Sarr,Mjällby AIF,Swedish Allsvenskan,,,62,,,,,,,
T. Maciejewski,SK Austria Klagenfurt,Austrian Football Bundesliga,,,62,,,,,,,
M. Tučić,Hokkaido Consadole Sapporo,Japanese J. League Division 1,,,62,,,,,,,
O. Ndong,Club Atlético Lanús,Argentina Primera División,,,62,,,,,,,
T. Lemperle,1. FC Köln,German 1. Bundesliga,,,62,,,,,,,
C. Viet,Borussia Dortmund II,German 3. Bundesliga,,,62,,,,,,,
D. Bansais,US Quevilly Rouen Métropole,French Ligue 2,,,62,,,,,,,
L. Bury,Pau FC,French Ligue 2,,,62,,,,,,,
L. Chalmers,Dundee United,Scottish Premiership,,,62,,,,,,,
S. Tanaka,Shonan Bellmare,Japanese J. League Division 1,,,62,,,,,,,
K. Kurt,Borussia Mönchengladbach,German 1. Bundesliga,,,62,,,,,,,
W. Omari,Stade Rennais FC,French Ligue 1,,,62,,,,,,,
T. Booth,FC Bayern München,German 1. Bundesliga,,,62,,,,,,,
J. Huysman,USL Dunkerque,French Ligue 2,,,62,,,,,,,
D. Pike,Blackburn Rovers,English League Championship,,,62,,,,,,,
N. Baxevanos,AFC Chindia Târgoviște,Romanian Liga I,,,62,,,,,,,
Jesús Ruiz,AD Alcorcón,Spanish Segunda División,,,62,,,,,,,
O. Schönfelder,SV Werder Bremen,German 2. Bundesliga,,,62,,,,,,,
Z. McGraw,Portland Timbers,USA Major League Soccer,,,62,,,,,,,
P. Bonilla,Portland Timbers,USA Major League Soccer,,,62,,,,,,,
I. Doukouré,Valenciennes FC,French Ligue 2,,,62,,,,,,,
D. Vekemans,Oud-Heverlee Leuven,Belgian Jupiler Pro League,,,62,,,,,,,
R. Malone,F.C. Hansa Rostock,German 2. Bundesliga,,,62,,,,,,,
A. Hausch,San Lorenzo de Almagro,Argentina Primera División,,,62,,,,,,,
M. Picouleau,Valenciennes FC,French Ligue 2,,,62,,,,,,,
M. Stefel,SC Rheindorf Altach,Austrian Football Bundesliga,,,62,,,,,,,
S. Keogh,Sligo Rovers,Rep. Ireland Airtricity League,,,62,,,,,,,
H. Rorig,1. FC Magdeburg,German 3. Bundesliga,,,62,,,,,,,
Z. Ibsen Rossi,AFC Bournemouth,English League Championship,,,62,,,,,,,
L. Markmanrud,Sandefjord Fotball,Norwegian Eliteserien,,,62,,,,,,,
J. Flere,Cádiz CF,Spain Primera Division,,,62,,,,,,,
W. Bondo,AS Nancy Lorraine,French Ligue 2,,,62,,,,,,,
E. Montejano,Club Universidad Nacional,Mexican Liga MX,,,62,,,,,,,
J. Wieckhoff,FC St. Pauli,German 2. Bundesliga,,,62,,,,,,,
N. Mușat,Campionii FC Arges,Romanian Liga I,,,62,,,,,,,
A. Panait,CS Mioveni,Romanian Liga I,,,62,,,,,,,
F. Croitoru,Campionii FC Arges,Romanian Liga I,,,62,,,,,,,
M. Brescianini,AC Monza,Italian Serie B,,,62,,,,,,,
W. Burrell,Harrogate Town,English League Two,,,62,,,,,,,
J. Kersken,Borussia Mönchengladbach,German 1. Bundesliga,,,62,,,,,,,
A. Seidu,Clermont Foot 63,French Ligue 1,,,62,,,,,,,
A. Wahab Ibrahim,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,,,62,,,,,,,
Victor Méndez,CD Tenerife,Spanish Segunda División,,,62,,,,,,,
M. Canadi,SV Ried,Austrian Football Bundesliga,,,62,,,,,,,
E. Dos Santos Haesler,FC Nordsjælland,Danish Superliga,,,62,,,,,,,
M. Rundić,Raków Częstochowa,Polish T-Mobile Ekstraklasa,,,62,,,,,,,
H. Mejbri,Manchester United,English Premier League,,,62,,,,,,,
C. Montes,Universidad Católica,Chilian Campeonato Nacional,,,62,,,,,,,
J. Pacchini,Club Atlético Independiente,Argentina Primera División,,,62,,,,,,,
N. Iosifov,Villarreal CF,Spain Primera Division,,,62,,,,,,,
A. Gülay,Aytemiz Alanyaspor,Turkish Süper Lig,,,62,,,,,,,
